ticker,yahoo_symbol,symbol_type,active_flag,name,industry,market_cap,last_price,volume,source_symbol
IBKR,IBKR,stock,TRUE,Interactive Brokers Group Inc. Class A Common Stock,Finance,1.47685E+11,87.06,7080058,IBKR
UBER,UBER,stock,TRUE,Uber Technologies Inc. Common Stock,Consumer Discretionary,1.46991E+11,72.21,17576630,UBER
PFE,PFE,stock,TRUE,Pfizer Inc. Common Stock,Health Care,1.46419E+11,25.69,31272057,PFE
COP,COP,stock,TRUE,ConocoPhillips Common Stock,Energy,1.45257E+11,119.23,4813508,COP
WELL,WELL,stock,TRUE,Welltower Inc. Common Stock,Real Estate,1.41783E+11,200.85,2844510,WELL
HON,HON,stock,TRUE,Honeywell International Inc. Common Stock,Industrials,1.37908E+11,217.64,6762348,HON
PLD,PLD,stock,TRUE,Prologis Inc. Common Stock,Real Estate,1.34061E+11,143.79,3653271,PLD
DHR,DHR,stock,TRUE,Danaher Corporation Common Stock,Industrials,1.32098E+11,186.64,7771426,DHR
BKNG,BKNG,stock,TRUE,Booking Holdings Inc. Common Stock,Consumer Discretionary,1.29784E+11,167.49,6666210,BKNG
VRT,VRT,stock,TRUE,Vertiv Holdings LLC Class A Common Stock,Technology,1.24421E+11,323.92,6075877,VRT
SPGI,SPGI,stock,TRUE,S&P Global Inc. Common Stock,Finance,1.24356E+11,420.12,2133425,SPGI
NOW,NOW,stock,TRUE,ServiceNow Inc. Common Stock,Technology,1.2306E+11,119.36,28144021,NOW
CVS,CVS,stock,TRUE,CVS Health Corporation Common Stock,Consumer Staples,1.20983E+11,94.82,12339781,CVS
LMT,LMT,stock,TRUE,Lockheed Martin Corporation Common Stock,Industrials,1.19674E+11,519.05,851279,LMT
MO,MO,stock,TRUE,Altria Group Inc.,Health Care,1.17894E+11,70.6,5794489,MO
LOW,LOW,stock,TRUE,Lowe's Companies Inc. Common Stock,Consumer Discretionary,1.16364E+11,207.53,3173690,LOW
NEM,NEM,stock,TRUE,Newmont Corporation,Basic Materials,1.15648E+11,108.33,7216836,NEM
BMY,BMY,stock,TRUE,Bristol-Myers Squibb Company Common Stock,Health Care,1.15581E+11,56.6,12659116,BMY
SYK,SYK,stock,TRUE,Stryker Corporation Common Stock,Health Care,1.15472E+11,301.21,2476680,SYK
PGR,PGR,stock,TRUE,Progressive Corporation (The) Common Stock,Finance,1.14168E+11,195.38,2927166,PGR
COF,COF,stock,TRUE,Capital One Financial Corporation Common Stock,Finance,1.14004E+11,183.2,4026609,COF
CDNS,CDNS,stock,TRUE,Cadence Design Systems Inc. Common Stock,Technology,1.13548E+11,411.68,2998711,CDNS
VRTX,VRTX,stock,TRUE,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,1.12116E+11,441.74,1362422,VRTX
PH,PH,stock,TRUE,Parker-Hannifin Corporation Common Stock,Industrials,1.09976E+11,872.23,799836,PH
FTNT,FTNT,stock,TRUE,Fortinet Inc. Common Stock,Technology,1.09655E+11,149.67,5393033,FTNT
PWR,PWR,stock,TRUE,Quanta Services Inc. Common Stock,Industrials,1.07919E+11,719.17,1017776,PWR
EQIX,EQIX,stock,TRUE,Equinix Inc. Common Stock REIT,Real Estate,1.07417E+11,1089.15,488500,EQIX
SBUX,SBUX,stock,TRUE,Starbucks Corporation Common Stock,Consumer Discretionary,1.07291E+11,94.14,7524440,SBUX
MDT,MDT,stock,TRUE,Medtronic plc. Ordinary Shares,Health Care,1.05189E+11,81.93,19849638,MDT
ADBE,ADBE,stock,TRUE,Adobe Inc. Common Stock,Technology,1.04453E+11,258.42,5161993,ADBE
SO,SO,stock,TRUE,Southern Company (The) Common Stock,Utilities,1.03377E+11,91.62,4464138,SO
MAR,MAR,stock,TRUE,Marriott International Class A Common Stock,Consumer Discretionary,1.01599E+11,385.3,1150123,MAR
FCX,FCX,stock,TRUE,Freeport-McMoRan Inc. Common Stock,Basic Materials,1.00184E+11,69.69,11648613,FCX
HWM,HWM,stock,TRUE,Howmet Aerospace Inc. Common Stock,Industrials,99758798736,249.33,2181806,HWM
BNY,BNY,stock,TRUE,The Bank of New York Mellon Corporation Common Stock,Finance,98852310061,144.02,3626929,BNY
CEG,CEG,stock,TRUE,Constellation Energy Corporation Common Stock,Utilities,95567278769,264.59,3467165,CEG
DUK,DUK,stock,TRUE,Duke Energy Corporation (Holding Company) Common Stock,Utilities,94970411155,121.82,3482325,DUK
NET,NET,stock,TRUE,Cloudflare Inc. Class A Common Stock,Technology,94955180385,268.64,4418550,NET
SNPS,SNPS,stock,TRUE,Synopsys Inc. Common Stock,Technology,94682696626,494.48,2013490,SNPS
CMI,CMI,stock,TRUE,Cummins Inc. Common Stock,Industrials,93570386333,678.1,837311,CMI
ADP,ADP,stock,TRUE,Automatic Data Processing Inc. Common Stock,Industrials,93135667837,231.31,2319033,ADP
CME,CME,stock,TRUE,CME Group Inc. Class A Common Stock,Finance,92785734393,256.06,3688581,CME
GD,GD,stock,TRUE,General Dynamics Corporation Common Stock,Industrials,92351908861,341.5,1394860,GD
PNC,PNC,stock,TRUE,PNC Financial Services Group Inc. (The) Common Stock,Finance,91187296635,227.08,1796991,PNC
MCK,MCK,stock,TRUE,McKesson Corporation Common Stock,Health Care,90988456404,756.95,902694,MCK
AMT,AMT,stock,TRUE,American Tower Corporation (REIT) Common Stock,Real Estate,90341325010,193.91,4071565,AMT
ELV,ELV,stock,TRUE,Elevance Health Inc. Common Stock,Health Care,88914964867,409.44,1424875,ELV
WMB,WMB,stock,TRUE,Williams Companies Inc. (The) Common Stock,Utilities,88581764334,72.43,6558051,WMB
BX,BX,stock,TRUE,Blackstone Inc. Common Stock,Finance,88068401120,118.55,8022416,BX
WM,WM,stock,TRUE,Waste Management Inc. Common Stock,Utilities,87949105446,219.01,2733977,WM
DDOG,DDOG,stock,TRUE,Datadog Inc. Class A Common Stock,Technology,86711902040,243.6,6976858,DDOG
MNST,MNST,stock,TRUE,Monster Beverage Corporation,Consumer Staples,86592838059,88.54,4864687,MNST
USB,USB,stock,TRUE,U.S. Bancorp Common Stock,Finance,86025735964,55.46,8788803,USB
CSX,CSX,stock,TRUE,CSX Corporation Common Stock,Industrials,85901759313,46.23,11095346,CSX
KKR,KKR,stock,TRUE,KKR & Co. Inc. Common Stock,Finance,85710950948,95.46,5505161,KKR
SNOW,SNOW,stock,TRUE,Snowflake Inc. Common Stock,Technology,84632788000,244.18,9532173,SNOW
CMCSA,CMCSA,stock,TRUE,Comcast Corporation Class A Common Stock,Telecommunications,83377254895,23.33,45296745,CMCSA
BE,BE,stock,TRUE,Bloom Energy Corporation Class A Common Stock,Energy,82878409819,291.37,6633390,BE
EPD,EPD,stock,TRUE,Enterprise Products Partners L.P. Common Stock,Utilities,82603127587,38.18,1492407,EPD
INTU,INTU,stock,TRUE,Intuit Inc. Common Stock,Technology,82602703260,301.98,7030054,INTU
COHR,COHR,stock,TRUE,Coherent Corp. Common Stock,Technology,82540229530,421.9,6032680,COHR
MPWR,MPWR,stock,TRUE,Monolithic Power Systems Inc. Common Stock,Technology,81192238000,1652.6,679219,MPWR
