symbol,name,price,marketCap,volume,industry
PANW,Palo Alto Networks Inc. Common Stock,352.04,286912600000.0,7265481,Technology
PM,Philip Morris International Inc Common Stock,177.69,276940321346.0,5910581,Health Care
DELL,Dell Technologies Inc. Class C Common Stock ,425.25,275607923173.0,6027606,Technology
TXN,Texas Instruments Incorporated Common Stock,298.41,271580789762.0,8737137,Technology
IBM,International Business Machines Corporation Common Stock,286.25,269042161400.0,6905823,Technology
WFC,Wells Fargo & Company Common Stock,85.94,262992685114.0,14670618,Finance
RTX,RTX Corporation Common Stock,191.78,258266947822.0,3780461,Industrials
LIN,Linde plc Ordinary Shares,533.55,246819984033.0,3087476,Basic Materials
C,Citigroup Inc. Common Stock,140.13,239002498704.0,13702850,Finance
MRVL,Marvell Technology Inc. Common Stock,272.05,237989340000.0,33822739,Technology
CCZ,Comcast Holdings ZONES,66.5,237659127755.0,119,Telecommunications
AXP,American Express Company Common Stock,348.0,237449602164.0,2918029,Finance
APH,Amphenol Corporation Common Stock,172.22,211870976118.0,8011463,Technology
ANET,Arista Networks Inc. Common Stock,166.62,209808336046.0,9098200,Telecommunications
WDC,Western Digital Corporation Common Stock,598.37,206247446726.0,7934227,Technology
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,772.74,196712419007.0,2685075,Technology
AMGN,Amgen Inc. Common Stock,361.33,195012790644.0,2244793,Health Care
PEP,PepsiCo Inc. Common Stock,141.16,192933015345.0,9391716,Consumer Staples
QCOM,QUALCOMM Incorporated Common Stock,181.92,191743680000.0,23313203,Technology
MCD,McDonald's Corporation Common Stock,269.43,191431593590.0,3902065,Consumer Discretionary
TMO,Thermo Fisher Scientific Inc Common Stock,513.33,190764446628.0,2220029,Industrials
GLW,Corning Incorporated Common Stock,220.63,189882523330.0,22393554,Industrials
APP,Applovin Corporation Class A Common Stock,564.61,189675083400.0,5920092,Technology
ADI,Analog Devices Inc. Common Stock,388.98,189467116819.0,5750949,Technology
TMUS,T-Mobile US Inc. Common Stock,173.06,187286348324.0,5941097,Telecommunications
NEE,NextEra Energy Inc. Common Stock,86.37,180110941555.0,9709226,Technology
VZ,Verizon Communications Inc. Common Stock,41.99,175331718631.0,57139703,Telecommunications
BA,Boeing Company (The) Common Stock,218.58,172307123510.0,4205554,Industrials
DE,Deere & Company Common Stock,627.63,169420826053.0,1637019,Industrials
TJX,TJX Companies Inc. (The) Common Stock,151.35,167197017902.0,5047693,Consumer Discretionary
SCHW,Charles Schwab Corporation (The) Common Stock,95.78,166574398860.0,10685420,Finance
DIS,Walt Disney Company (The) Common Stock,95.71,166201508391.0,11590501,Consumer Discretionary
UNP,Union Pacific Corporation Common Stock,277.73,164891970646.0,2223539,Industrials
WELL,Welltower Inc. Common Stock,230.19,162494447246.0,2735922,Real Estate
ABT,Abbott Laboratories Common Stock,92.18,160560269705.0,13935853,Health Care
IBKR,Interactive Brokers Group Inc. Class A Common Stock,93.25,158184986442.0,7441917,Finance
GILD,Gilead Sciences Inc. Common Stock,125.97,156400557028.0,6654936,Health Care
BLK,BlackRock Inc. Common Stock,980.38,152188298136.0,969313,Finance
UBER,Uber Technologies Inc. Common Stock,72.66,147906624285.0,12648134,Consumer Discretionary
TBB,AT&T Inc. 5.350% Global Notes due 2066,20.63,147512452452.0,439105,Telecommunications
ISRG,Intuitive Surgical Inc. Common Stock,402.38,142508044364.0,1939314,Health Care
T,AT&T Inc.,20.48,142301979341.0,137694442,Telecommunications
BKNG,Booking Holdings Inc. Common Stock,182.64,141523797551.0,7101138,Consumer Discretionary
SCCO,Southern Copper Corporation Common Stock,168.8,140834651813.0,1140392,Basic Materials
DHR,Danaher Corporation Common Stock,193.72,137109325862.0,4515634,Industrials
PFE,Pfizer Inc. Common Stock,23.88,136102726756.0,49385299,Health Care
CVS,CVS Health Corporation Common Stock,104.81,133729941047.0,7508410,Consumer Staples
CRM,Salesforce Inc. Common Stock,163.23,133685370000.0,14164655,Technology
PGR,Progressive Corporation (The) Common Stock,225.3,131651005339.0,3622280,Finance
PLD,Prologis Inc. Common Stock,136.8,127543838400.0,3140501,Real Estate
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,498.01,126397635720.0,1444536,Health Care
COF,Capital One Financial Corporation Common Stock,204.82,126173110098.0,3358711,Finance
COP,ConocoPhillips Common Stock,103.22,125752307403.0,5744563,Energy
LOW,Lowe's Companies Inc. Common Stock,221.92,124432106539.0,2864708,Consumer Discretionary
